Edad,Ingreso_Anual,Puntuacion_Gasto,Visitas_Mensuales,Gasto_Electronica,Gasto_Hogar,Gasto_Ropa,Gasto_Alimentos,Gasto_Belleza,Tiempo_App_Min,Clics_Promo
56.0,40250.40182204795,11.479470351912976,7,170.19110481633618,96.22473363416526,157.66669055685597,259.5429569345308,53.92279426684237,11.91260581169892,3
69.0,64058.35432302274,87.42892000894189,3,1150.5170468891342,230.89394191983246,121.69537904088563,331.12856608210296,59.16493275249195,14.126322221952929,3
46.0,47575.613818062935,52.791159049019356,1,391.8248302592282,38.29747539243518,156.8648049202888,386.4015598518696,56.52858662444664,16.072318679525928,2
32.0,29880.8799347257,70.26930099681213,3,1.540074238898245,36.71866312953768,152.2958156441906,380.6959549885447,64.25540115154905,17.732843262059582,1
60.0,28608.117009960544,41.67485209220915,5,10.375684589932451,133.45936656859666,10.981562028255878,280.7470065008964,94.02881001903673,15.516838032679841,1
25.0,59092.476359171844,56.49740109110382,5,188.36245065016521,85.92026938358924,32.65380110648742,290.8226016822589,38.877752008402545,23.869707892783747,1
38.0,27698.438259494957,94.32325851969642,4,196.83688499953934,446.08623312331787,30.122014823558185,238.42292263098946,30.115141345757614,16.179843702643602,4
56.0,54746.39109573625,9.190669922743405,3,421.05995094834475,66.24870849395022,272.7038565677923,280.1831141438043,3.8434911030169716,14.25358030189883,2
36.0,56669.82778500439,26.13983942044592,5,198.34146749479967,213.78996236695244,66.83893487312152,304.83159005821113,14.707305685676687,19.77939398821769,3
40.0,35069.669541139745,78.21884436414389,4,51.68020570859794,131.23372324618185,11.772231178763445,232.51118666196976,10.624981588114268,10.566844100446833,0
28.0,63361.071256623356,10.77498348138392,5,126.41652271279725,8.418280818430226,34.189598690100134,272.75061191150496,33.54441868724622,17.695971489793997,1
28.0,24233.095643575518,8.490449286506975,9,331.0810835160221,13.223986028006978,205.49569391432962,311.110721431672,60.99907288150555,13.145883913484212,0
41.0,54446.88400997838,36.792598476649815,3,512.3358499750306,34.06454490111425,187.77512959450664,224.00127173633598,4.633389113458342,21.428199593350783,1
53.0,49387.130996059874,10.1246278887708,6,54.077201489133756,23.17431988745224,230.59857029247453,323.45297571480836,72.76650044546848,21.813112798746598,3
57.0,48215.0303640366,58.9227657784141,3,,59.93098967356605,49.18873776798634,351.01971746078937,39.74329499777392,14.129562315612018,2
41.0,32331.550355291412,23.401249830843383,8,34.61549509574981,129.76441767783612,102.53830952494721,328.50150468772034,96.35045157884547,10.6480571617514,3
20.0,35944.66993400111,89.67409835673786,5,137.43290206580733,138.33219013636284,32.59710553609755,275.1603765208285,56.838497519193865,5.688886650505742,5
,74282.03037530897,78.56650800368041,5,18.88721895048862,132.9252690248362,19.945794699184557,358.5998363731127,77.13623123884888,16.126052426283636,3
19.0,68227.3251330763,70.27081540384815,3,568.526955170159,18.76793947296127,2.2144464703029243,369.3723361686514,86.1181232297033,4.3368542107596895,0
41.0,61131.268827856984,62.07745871106569,5,203.2534082852785,137.5281626799746,25.28825925228584,315.88944826814895,88.88463013255273,14.574784940449241,2
61.0,64097.72155294532,86.48310730380487,2,385.1268585138169,79.0805743128571,92.72863044551704,307.45192112004605,51.846174967980716,12.195199482357832,4
47.0,62690.20317006903,23.08314409273293,4,1274.8584665882224,350.03810830113264,234.5600257491774,269.0146475066083,39.67425584310811,17.7903070162545,1
55.0,45149.65681570687,87.43777543365853,8,40.34148969117506,364.5358336414406,14.320148703055914,279.6661621015587,56.05149896884395,14.93179462956299,1
19.0,50714.05327721527,79.15973754398118,4,236.92779264631213,219.26511616405264,250.11770290409783,353.60876315858746,40.20704016174279,12.168274116014977,1
38.0,27912.374329384867,75.06792181238087,6,436.0492342452248,182.15759750810756,42.370836121423146,392.46933421346273,24.071496928324155,19.245350113846335,3
